rank,front,meaning,pos,frequency,cle_wordnet,cle_closed_class,readurdu_entry,readurdu_meaning,kaikki_entry,kaikki_meaning,source
2103,قطب,pole,noun,313,False,False,True,pole,True,pole,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2104,قول,"n. vow, pledge, word of honour, promise; a deed of lease on land between the government and another party; poetical words of Sufis and mystics sung by qawwali singers | Platts: (inf. n. of قول 'to speak; to say,' &c.), s.m. Speech, word, saying, dictum; assertion, declaration,…",noun,313,False,False,True,"n. vow, pledge, word of honour, promise; a deed of lease on land between the government and another party; poetical words of Sufis and mystics sung by qawwali singers | Platts: (inf. n. of قول 'to speak; to say,' &c.), s.m. Speech, word, saying, dictum; assertion, declaration,…",True,"saying, quote, quotation; vow, pledge, word of honour, promise; poetical words of Sufis and mystics sung by qawwali singers","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2105,کرسی,n. chair | Platts: s.f. Dung; a piece of dry cow-dung,noun,313,False,False,True,n. chair | Platts: s.f. Dung; a piece of dry cow-dung,True,chair,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2106,ٹکر,"collision, hit, crash (impact between two objects)",noun,313,False,False,True,"collision, hit, crash (impact between two objects)",True,"collision, hit, crash (impact between two objects)","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2107,تصویریں,"direct plural of تَصْوِیر (taṣvīr, “photograph”) | also: plural direct of تَصْوِیر (tasvīr — image, picture, photograph)",noun,312,False,False,True,"direct plural of تَصْوِیر (taṣvīr, “photograph”) | also: plural direct of تَصْوِیر (tasvīr — image, picture, photograph)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2108,ستاروں,"oblique plural of سِتارَہ (sitāra, “star”) | also: plural oblique of سِتارَہ (sitāra — star)",noun,312,False,False,True,"oblique plural of سِتارَہ (sitāra, “star”) | also: plural oblique of سِتارَہ (sitāra — star)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2109,کہر,"adj. light brown; bay, reddish-brown (especially of horses) | Platts: s.m. Cavity, hollow; hole, rent; chasm, abyss",adj,312,False,False,True,"adj. light brown; bay, reddish-brown (especially of horses) | Platts: s.m. Cavity, hollow; hole, rent; chasm, abyss",True,"light brown; bay, reddish-brown (especially of horses)","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2110,واہ,"name: Wah (a city in Rawalpindi district, Punjab, Pakistan) | Platts: (P. wāh; A. wāh, wāha, wāhi, wāhā), intj. O! bravo! well done; excellent! — how strange! you don't say so!…",intj|name,312,True,True,True,"name: Wah (a city in Rawalpindi district, Punjab, Pakistan) | Platts: (P. wāh; A. wāh, wāha, wāhi, wāhā), intj. O! bravo! well done; excellent! — how strange! you don't say so!…",True,"wow, whoa; Wah (a city in Rawalpindi district, Punjab, Pakistan)","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2111,بندے,"inflection of بَنْدَہ (banda, “servant; slave”): | also: plural direct of بَنْدَہ (banda — slave, servant, bondsman)",noun,311,False,False,True,"inflection of بَنْدَہ (banda, “servant; slave”): | also: plural direct of بَنْدَہ (banda — slave, servant, bondsman)",True,direct plural; oblique/vocative singular,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2112,زندگیوں,"oblique plural of زِنْدَگِی (zindagī, “life”) | also: plural oblique of زِنْدَگی (zindagī — life)",noun,311,False,False,True,"oblique plural of زِنْدَگِی (zindagī, “life”) | also: plural oblique of زِنْدَگی (zindagī — life)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
